Country Name,Country Code,Indicator Name,Indicator Code,1960,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
France,FRA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,17642.07214,18328.01308,18951.04355,19194.93561,19992.61582,20766.70164,21352.88199,22243.73435,23359.44873,24307.50281,26090.63447,27490.05173,28523.88619,28172.69565,29060.45099,30498.57688,32468.54158,34121.34388,35095.26568,34678.06232,35902.90311,37440.63347,37679.11891,39523.85515,40144.02683,40849.99738,42924.61363,44577.06457,46576.60185,49072.36383,46991.18203,50728.66743
Germany,DEU,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,19452.5734,20984.24987,21709.50134,21862.80218,22784.58147,23552.25332,24071.8978,24572.68842,25345.06446,26291.21108,27199.04409,28368.54328,29178.63747,29908.13953,31333.8363,31794.09601,34160.34493,36287.48224,37802.38743,36815.84405,38952.6946,42541.53109,43359.61483,44993.89275,47011.55109,47609.781,50579.68393,53071.45557,55235.3663,55652.88749,54844.54597,57927.59007
Greece,GRC,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,13304.47475,14011.60828,14321.40783,14341.68239,14866.27328,15424.47209,16145.44791,17155.93519,18033.79597,18464.73208,19516.19722,20954.78185,22615.93561,23896.6057,25460.45274,25577.52411,28549.15174,29320.26482,30856.01184,30359.14946,27913.08919,25671.51609,24911.11963,25986.65032,26625.06181,26760.3633,27511.80102,28604.86094,29617.54834,30356.2664,27948.64973,31295.14533
Hungary,HUN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,8320.833632,8252.911224,8409.444993,8854.265662,9187.364597,9349.707499,9824.840805,10398.10217,10873.24786,11853.17852,13207.92217,14526.38826,15481.32011,16272.00583,17112.20217,18389.41028,19099.85171,20727.88997,20729.78393,21751.83384,23038.80802,23275.23186,24556.71535,25699.7505,26806.59525,27947.63769,29501.12042,31913.07466,33514.94179,33274.34766,36752.51543
Iceland,ISL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,23941.93235,24768.91258,26873.0548,28721.11415,29557.54183,29779.0932,31876.02706,32607.10588,32699.24172,35616.20067,37322.73993,39700.32936,41463.42554,43728.11406,41864.18826,39775.29708,40936.86783,42004.44761,44409.66895,45996.96875,49201.0641,53480.39719,55638.49206,57211.30031,58290.09683,53616.68471,57646.40989
Ireland,IRL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,13735.72592,14391.26836,15107.92203,15803.28192,17002.63358,18934.28128,20475.46148,22636.27018,25092.51361,27041.34742,30205.65723,32567.28217,35222.02872,36283.12084,38733.34969,40466.23435,44232.37305,46773.4866,44169.09434,41471.07998,43203.12008,45080.1887,46361.46369,47830.63089,51098.26668,69028.77272,71498.60101,77749.20196,84555.6348,87379.69297,93350.08753,106455.753
Italy,ITA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,18627.64397,19540.32457,20138.67054,20427.7275,21308.40224,22382.89796,23052.61895,23875.83851,25021.06529,25602.38947,27072.42136,28033.73587,28736.57711,29196.9279,29554.68909,30130.64446,32453.58371,34141.20077,35523.27131,34602.89696,35158.44184,36598.01497,36486.29679,36314.6971,36194.87392,36899.38521,39926.95466,41581.12079,43036.24378,44376.1625,41987.81596,45935.99655
Kosovo,XKX,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,6545.420726,6863.69132,7230.997719,7780.594464,8039.207976,8383.397311,8649.449499,9357.135136,10007.68923,10436.16885,11012.10966,11796.15331,11292.86265,12720.98357
Latvia,LVA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,5514.665963,5807.340589,6487.466004,7068.195072,7405.847975,8039.506366,9044.546392,10081.19186,11060.94272,12278.58484,13913.7883,15859.31539,18236.60921,19573.15539,17023.75492,17706.89451,19248.4194,21290.45959,22639.06834,23815.80006,24972.78609,26721.7262,28673.5634,30877.04193,31883.25911,31424.90221,34468.60211
Lithuania,LTU,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,5927.330178,6383.803059,7069.562324,7762.537908,7820.717972,8445.899213,9436.054109,10480.72101,12067.67411,13030.36041,14510.53009,16483.85036,19094.64096,20721.0132,18116.73026,20096.7361,22884.82495,24703.68582,26721.57967,28184.47233,28834.42768,30925.17085,33761.87124,36376.18982,38540.78145,38880.54527,42665.32293
Luxembourg,LUX,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,29933.35012,33173.22851,34090.76104,35879.91174,37531.67324,38325.31545,39710.39389,42485.59356,44267.45227,49844.67696,55117.25648,56125.22945,58575.67927,60196.54351,64692.59707,68787.85475,78878.45775,85109.87945,90970.7212,86875.85377,90361.78309,94475.03023,96636.42664,100925.012,105296.2846,107859.686,113365.1761,114985.8422,116965.5861,117341.9151,117846.1365,134753.7977
Malta,MLT,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,9019.404724,9644.34278,10220.86004,10823.31568,11570.41573,12475.00438,13076.11883,13820.16717,14470.54795,15110.49434,18355.49679,18510.59845,19599.94143,20929.39549,21545.42519,22306.62287,23320.95984,25059.13771,26523.53269,26649.60413,28722.70219,28973.27086,30243.84131,32295.84734,34344.02179,37455.20487,39705.89872,43559.31618,45568.72321,47407.88079,43243.17265,47714.45217
